City,Location,URL
Tigard, Bridgeport Village,/retail/bridgeportvillage/
Tigard, Washington Square,/retail/washingtonsquare/
Ardmore, Suburban Square,/retail/suburbansquare/
King of Prussia, King of Prussia,/retail/kingofprussia/
Lancaster, Park City,/retail/parkcity/
Philadelphia, Walnut Street,/retail/walnutstreet/
Pittsburgh, Ross Park,/retail/rosspark/
Pittsburgh, Shadyside,/retail/shadyside/
Pittsburgh, South Hills Village,/retail/southhillsvillage/
Whitehall, Lehigh Valley,/retail/lehighvalley/
Willow Grove, Willow Grove Park,/retail/willowgrovepark/
Providence, Providence Place,/retail/providenceplace/
Charleston, King Street,/retail/kingstreet/
Greenville, Haywood Mall,/retail/haywoodmall/
Franklin, CoolSprings Galleria,/retail/coolspringsgalleria/
Germantown, Saddle Creek,/retail/saddlecreek/
Knoxville, West Town Mall,/retail/westtownmall/
Nashville, Green Hills,/retail/greenhills/
Austin, Barton Creek,/retail/bartoncreek/
Austin, Domain NORTHSIDE,/retail/domainnorthside/
Dallas, Knox Street,/retail/knoxstreet/
Dallas, NorthPark Center,/retail/northparkcenter/
El Paso, Cielo Vista Mall,/retail/cielovistamall/
Fort Worth, University Park Village,/retail/universityparkvillage/
Friendswood, Baybrook,/retail/baybrook/
Frisco, Stonebriar,/retail/stonebriar/
Houston, Highland Village,/retail/highlandvillage/
Houston, Houston Galleria,/retail/houstongalleria/
Houston, Memorial City,/retail/memorialcity/
Houston, Willowbrook Mall,/retail/willowbrookmall/
Plano, Willow Bend,/retail/willowbend/
San Antonio, La Cantera,/retail/lacantera/
San Antonio, North Star,/retail/northstar/
Southlake, Southlake Town Square,/retail/southlaketownsquare/
Sugar Land, First Colony Mall,/retail/firstcolonymall/
The Woodlands, The Woodlands,/retail/thewoodlands/
Farmington, Station Park,/retail/stationpark/
Murray, Fashion Place,/retail/fashionplace/
Salt Lake City, City Creek Center,/retail/citycreekcenter/
Arlington, Clarendon,/retail/clarendon/
Arlington, Pentagon City,/retail/pentagoncity/
Fairfax, Fair Oaks,/retail/fairoaks/
McLean, Tysons Corner,/retail/tysonscorner/
Norfolk, MacArthur Center,/retail/macarthurcenter/
Reston, Reston,/retail/reston/
Richmond, Short Pump Town Center,/retail/shortpumptowncenter/
Virginia Beach, Lynnhaven Mall,/retail/lynnhavenmall/
Woodbridge, Potomac Town Center,/retail/potomactowncenter/
Bellevue, Bellevue Square,/retail/bellevuesquare/
Lynnwood, Alderwood Mall,/retail/alderwoodmall/
Seattle, University Village,/retail/universityvillage/
Spokane, River Park Square,/retail/riverparksquare/
Tacoma, Tacoma Mall,/retail/tacomamall/
Tukwila, Southcenter,/retail/southcenter/
Glendale, Bayshore,/retail/bayshore/
Madison, Hilldale,/retail/hilldale/
Wauwatosa, Mayfair,/retail/mayfair/
